Origen,Aeropuerto Origen,Hora Salida,Hora de Llegada,Destino,Aeropuerto / Destino,Tiempo Vuelo,Origen / Vuelta,Aeropuerto / Origen,Hora Salida - V,Hora Llegada - V,Destino / Vuelta,Aeropuerto / Destino - Vuelta,Tiempo Vuelo - V,Aerolinea,Precio_1,Agencia_1,Precio_2,Agencia_2,Precio_3,Agencia_3,Clase
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,19:55,20:56,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,JetSMART,$267.239,eDestinos,$276.410,Aviatur,$260.491,Viajes Éxito,Turista
Bogota,El Dorado,6:35,7:35,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
